comment	title	pub	tags
"
  "	"

    献给爱米丽的一朵玫瑰花


    
      "	"
        
  
  (美) 威廉·福克纳 / 李文俊、陶洁 等 / 译林出版社 / 2015-3 / 38.00元

      "	
"
      我真的是太喜欢这些小说了
      
  

  "	"

    当我们谈论爱情时我们在谈论什么


    

  "	"
        
  
  [美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元

      "	
"
      一遍下来还不太明白，但是整个小说的文字和翻译读来觉得暗爽
      
  

  "	"

    世界尽头与冷酷仙境


    

  "	"
        
  
  村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 25.00元

      "	
"
      平淡的故事，有机会的话，也很想尝试完全不同的生活
      
  

  "	"

    且听岛语


    

  "	"
        
  
  艾伦·布洛克 / 任晓洁 / 湖南文艺出版社 / 2011-8 / 29.80元

      "	
"
      无感
      
  

  "	"

    被遗弃的人


    

  "	"
        
  
  [美]汤姆?富兰克林 / 子文 / 湖南文艺出版社 / 2011-10 / 29.00元

      "	
"
      爱情的轮回
      
  

  "	"

    在另一种生命里


    

  "	"
        
  
  [法]马克?李维 / 杨亦雨 / 湖南文艺出版社 / 2015-8-25 / 36.00

      "	
"
  "	"

    那些我们没谈过的事


    

  "	"
        
  
  马克·李维 / 林晨洁 / 湖南文艺出版社 / 2015-6-10 / 36.00

      "	
"
      为什么 一个没谈过恋爱的单身狗要读这书找虐呢
      
  

  "	"

    分手信


    

  "	"
        
  
  [美] 尼古拉斯·斯帕克思 / 李仪芳 / 北京时代华文书局 / 2015-1-18 / 38.00元

      "	
"
      看到了一点自己的影子
      
  

  "	"

    浮生梦


    

  "	"
        
  
  [英] 达芙妮·杜穆里埃 / 姜秋霞 / 花山文艺出版社 / 2016-1-15 / 39.90

      "	
"
  "	"

    追风筝的人


    

  "	"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元

      "	
"
      平淡柔和的文字讲述一个温暖的故事，只是没有特别地感动。
      
  

  "	"

    世界上的另一个你


    

  "	"
        
  
  [美] 朗·霍尔(Ron Hall)、[美] 丹佛·摩尔(Denver Moore) / 李佳纯 / 湖南文艺出版社 / 2016-1-1 / 26.00元

      "	
"
      比较感动于文中妈妈的角色
      
  

  "	"

    偷影子的人


    

  "	"
        
  
  (法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元

      "	
"
      历史不是时间、日前、地点和战争，而是填补这当中所有空间的人。
      
  

  "	"

    说故事的人


    

  "	"
        
  
  [美] 朱迪·皮考特 / 苏莹文 / 北京联合出版公司 / 2015-12-15 / 52.00元

      "	
"
      自由，是什么？
      
  

  "	"

    流浪者史诗


    

  "	"
        
  
  (美)詹姆斯·A.米切纳 / 郭雯 / 江苏文艺出版社 / 2013-3-1 / 32.00元

      "	
"
      很美秒的一本书。如果只从书中的文字，很难想象沙漠、云海的那种画面；而没有作者那样的经历，也不能完全体会到字里行间蕴含的哲理。也许更适合在旅途中阅读的一本书。
      
  

  "	"

    风沙星辰


    

  "	"
        
  
  [法] 安东尼?德?圣埃克苏佩里、Antoine de Saint Exupéry / 梅思繁 / 湖南文艺出版社 / 2012-2 / 26.80元

      "	
